GoldSummary,SystemSummary
"(1) The Cal Grant Program establishes the Cal Grant A and B Entitlement awards, the California Community College Transfer Entitlement awards, the Competitive Cal Grant A and B awards, the Cal Grant C awards, and the Cal Grant T awards under the administration of the Student Aid Commission, and establishes eligibility requirements for awards under these programs for participating students attending qualifying institutions, as defined.
This bill would express the intent of the Legislature to renew California’s commitment to college affordability by increasing the aid available to needy students, and, specifically, broadening access to financial aid to students enrolled in California community
college career technical education programs leading to industry valued credentials, through expanding the Cal Grant Program.
colleges.
(2) Under existing law, no more than a total of 25,750 Competitive Cal Grant A and B awards may be granted annually.
This bill, commencing with the 2016–17 academic year, would raise that limit to 34,000.
The bill would, effective with the fall term or semester of the 2017–18 academic year, make students enrolled in occupational or technical training courses leading to industry valued credentials of no less than 4 months in length at a California community college eligible for Cal Grant B awards under an existing allocation reserved for community college students, notwithstanding an existing requirement that limits Cal Grant B awards to for-credit instructional programs that are not less than one academic year in length.
(3)Existing law requires a Cal Grant C award to be utilized only for occupational or technical training in a course of not less than 4 months. Existing law requires that there be the same number of Cal Grant C awards each year as were made in the 2000–01 fiscal year.
This bill instead would require that there be the same number of Cal Grant C awards each year as were paid in the 2015–16 fiscal year.","This bill amends the Higher Education Act of 1965 to modify the California Master Plan for Higher Education in California by increasing the amount of financial aid available to students enrolled at California community colleges under the Cal Grant Program. Under current law, students enrolled in occupational or technical training courses leading to industry valued credentials are eligible for Cal Grant A awards, which pay up to $2,000 per academic year per student, and B awards, which pay up to $2,000 per academic year per student, for attendance at California community colleges. The bill expands eligibility by reserving award eligibility for students who will be enrolled at a California community college in the fall of 2017 and for students enrolled in occupational or technical training courses leading to industry valued credentials of no less than 34,000 hours per academic year."
"Existing law requires a debt collector that receives a copy of a police report filed by the debtor alleging that the debtor is the victim of an identity theft crime and a written statement in which the debtor claims to be the victim of identity theft to cease collection activities until completion of a review. Existing law requires the debt collector to review and consider all of the information provided by the debtor and other available information and authorizes the debt collector to recommence debt collection activities only upon making a good faith determination that the information does not establish that the debtor is not responsible for the specific debt in question.
This bill, the Identity Theft Resolution Act, would require the debt collector, upon receipt of the police report and written statement described above, if it furnished adverse information about the debtor to a consumer credit reporting agency, to notify the consumer credit reporting agency that the account is disputed, and initiate a review, as specified, within 10 business days. The bill would require the debt collector to send notice of its determination to the debtor no later than 10 business days after concluding the review. The bill would require a debt collector that does not recommence collection activities under these provisions to notify the creditor, no later than 10 business days after making its determination, and if it furnished adverse information to a consumer credit reporting agency, to notify the agency to delete that information no later than 10 business days after making its determination. The bill would also prohibit a creditor from selling a consumer debt to a debt collector if the creditor has received notice that the debt collector has terminated debt collection activities, as described above.","(This measure has not been amended since it was reported to the House on March 6, 2003. The summary of that version is repeated here.) Identity Theft Resolution Act - Amends the Civil Code to prohibit a creditor from selling a consumer debt to a debt collector if the creditor has received notice that the consumer is a victim of identity theft, and with respect to that debt, the creditor has received notice pursuant to specified procedures.(Sec. 3) Requires a debt collector, upon receipt of all of the following from a debtor: (1) a debtor's written statement that the debtor claims to be the victim of identity theft with respect to the specific debt being collected; (2) the debtor's written statement that the debtor claims to be the victim of identity theft; (3) a written statement that contains the content of the Identity Theft Victims Fraudulent Account Information Request offered to the public by the California Office of Privacy Protection; and (4) a written statement that certifies that representations made by the person submitting the certification are true, correct, and contain no material omissions of fact to the best of the debtor's knowledge and belief. Requires such certification to include: (1) a copy of a police report filed by the debtor alleging that the debtor is the victim of identity theft; (2) a telephone number for"
"Existing law relating to employment governs the grant of restraining orders or injunctive relief in labor disputes, as defined.
This bill would establish for eligible groups of independent contractors the right to organize and negotiate with hosting platforms, and would declare the activity of such a group to be a labor dispute for purposes of injunctive relief. The bill would require a hosting platform to meet and negotiate with a group on specified subjects. The bill would define terms for those purposes.
The bill would require that, at the request of the group, a written contract for independent contractor services, entered into on or after the date of the conclusion of negotiations conducted in accordance with the bill, by the hosting platform and a member of that group, incorporate any agreement reached in those negotiations.
The bill would require the State Mediation and Conciliation Service to facilitate negotiations, provide mediation services, and investigate any complaint by a group claiming a violation of the negotiation requirement. The bill would require the service, if it finds that there is probable cause to believe a violation has occurred, to bring an action in a specified superior court for injunctive and other appropriate equitable relief to remedy the violation.
The bill would prohibit a person from penalizing or retaliating against an independent contractor for taking specified actions within the scope of the bill.
The bill would authorize an independent contractor or a representative of independent contractors claiming a violation under this bill to bring an action in superior court for prescribed remedies, and would provide for treble damages with regard to lost income for a willful violation.
The exercise of any rights established by the bill would not be admissible as evidence that a person is an independent contractor in any judicial or administrative proceeding.
The bill would make its provisions severable.","(This measure has not been amended since it was reported to the House on May 1, 2017. (Sec. 1) This bill requires independent contractors who perform work through an electronic platform to negotiate their own terms of service with hosting platforms, or engage together in other group negotiations or mutual aid or protection to improve conditions, including their income, to the benefit of the economy of California. The bill defines &quot; hosting platform&quot; as a facility for connecting people or entities seeking to hire people for work with people seeking to perform that work, using any medium, including the Internet or telephone. The bill does not include a service provider if that entity provides only listings of goods or services contracted directly between buyers and sellers without involvement of the provider and receives no income related to the price of the transaction. An independent contractor who is not treated by a hosting platform as an employee and who does employ his or her employees shall have the right to negotiate in good faith with any group of independent contractors using the platform on an average of at least once per week. Work by an independent contractor is labor within the meaning of the Business and Professions Code and group activity by independent contractors shall not be subject to the negotiation, restraint of revenue, acceptance and termination of services by independent contractors, and responsibility for"
"Existing law authorizes certain internship and fellowship programs in state government.
This bill would establish the California Law Fellowship Program for the purpose of offering licensed attorneys and other qualifying law school graduates limited-term placements in public sector positions within state government as California Law Fellows, and encouraging each participant fellow to seek permanent public-sector employment at the conclusion of his or her fellowship, as specified.
Existing law, commonly known as the Code of Ethics, prohibits a Member of the Legislature or an employee of either house of the Legislature from receiving or agreeing to receive, directly or indirectly, any compensation, reward, or gift from any source except the State of California for any service, advice, assistance, or other matter related to the legislative process, except for specified circumstances.
This bill would provide that the services of a participant in the California Law Fellowship Program Fellow are not compensation, a reward, or a gift to a Member of the Legislature for purposes of the so-called Code of Ethics. The bill would also provide that a participant in the program is not an employee of either house of the Legislature for purposes of the Code of Ethics.
Existing law designates the Capitol Area Plan approved by the Director of General Services as the official state master plan for development in the City of Sacramento’s central city area. Existing law requires the plan to be used as a guide for the location of state buildings and other facilities in the metropolitan area. Existing law governs the lease or sale of real property covered by the plan that is owned by the state and not under the jurisdiction of any other state agency.
This bill would make nonsubstantive changes to those lease and sale provisions.",This bill establishes the California Law Fellowship Program to offer licensed attorneys and other qualifying law school graduates limited-term placements in public sector positions within the state government. The program shall provide each fellow with the opportunity to work in the public sector and encourage each participant to seek permanent public-sector employment at the conclusion of the fellowship. The Legislature requests that the University of the Pacific McGeorge School of Law create a program to provide law graduates a post-graduate educational experience and provide the Legislature and other governmental entities with legal assistance and advice. The Legislature gives preference to current members of the United States military and former members of the military who were honorably discharged.
"Existing law establishes the California Community Colleges, under the administration of the Board of Governors of the California Community Colleges, as one of the segments of public postsecondary education in this state. The board appoints a chief executive officer known as the Chancellor of the California Community Colleges. Under existing law, community college districts are authorized, among other things, to maintain and operate campuses, employ faculty and other employees, and provide instruction to students.
This bill would establish the California College Promise Innovation Grant Program, under the administration of the Office of the Chancellor of the California Community Colleges, which would require the chancellor’s office to distribute grants, upon appropriation by the Legislature, to the governing boards of community college districts, who meet certain requirements, to support the establishment of regional programs with the goals of increasing college preparation, college access, and college success. These provisions would be repealed on January 1, 2021.","Establishes a California College Promise Innovation Grant Program, administered by the Office of the Chancellor of the California Community Colleges. Requires the Office of the Chancellor to distribute Program grants to the governing boards of community college districts in California. Declares the goals of the Program to be to support community college districts in establishing or expanding regional California College Promise programs in partnership with school districts and public postsecondary universities in California to: increase the number and percentage of high school students within the region who are prepared for college directly from common high school; increase the percentage of high school graduates within the region who earn associate degrees or career technical education certificates at a public postsecondary university in California; increase the percentage of students from the region who successfully transfer from a community college to a public postsecondary university in California; increase the percentage of students from the region who graduate with a bachelor's degree; reduce and eliminate achievement gaps for students from groups that are underrepresented in postsecondary education, such as minority students, low-income students, students with disabilities, and students who are veterans; and leverage existing sources of local and state funding to better align efforts to improve student success. Sets forth requirements for funding applications."
"Existing law establishes in each county treasury a Supplemental Law Enforcement Services Account (SLESA) and requires the county auditor to allocate moneys in the SLESA in a prescribed manner to counties and cities located within the county for the purpose of funding specified public safety programs.
This bill would appropriate $85,000,000 from the General Fund in the State Treasury to be allocated by the State Controller to each city’s and city and county’s SLESA. The bill would require the county auditor for a county to allocate moneys received from that appropriation to the county, each city within the county, and certain special districts, as specified. The bill would authorize a local agency that receives funds from that allocation to use the funds for front-line law enforcement activities, including drug interdiction, antigang, community crime prevention, and juvenile justice programs. The bill would make related legislative findings and declarations.","This bill establishes a new program to provide additional funding for front-line law enforcement services, particularly those focused on drug interdiction, antigang enforcement, and other local law enforcement and crime prevention activities, through the Supplemental Law Enforcement Services Account in the Treasury of the Stallion Springs Community Services District, the Bear Valley Community Services District, the Broad Springs Community Services District in the county of San Mateo and Contra Costa, and the Siyou Valley Community Services District in the county of Kern. The bill requires each of those districts, in any fiscal year in which it receives moneys from the state, to allocate the moneys received and deposited into the account within 30 days of the deposit of those moneys into the fund. The moneys allocated to those districts shall be expended or retained by the legislative body if a city manager is not available in the city treasury."
"(1) Existing federal law provides for the Supplemental Nutrition Assistance Program (SNAP), known in California as CalFresh, under which supplemental nutrition assistance benefits allocated to the state by the federal government are distributed to eligible individuals by each county. Existing state law authorizes a county to deliver CalFresh benefits through the use of an electronic benefits transfer (EBT) system. Existing federal law authorizes counties to participate in the Restaurant Meals Program.
This bill would require each public and private postsecondary educational institution that is located in a county that participates in the Restaurant Meals Program to apply to become an approved food vendor for the program, if the institution operates any qualifying food facilities on campus, or to provide contracting food vendors with specified information about the program. By imposing these requirements on community colleges, this bill would impose a state-mandated local program.
(2) Existing law requires the State Department of Social Services, if private nonprofit organizations are successful in raising money for CalFresh outreach activities and have secured a local governmental agency to serve as the contracting agency, upon request and subject to approval by the United States Department of Agriculture, to act as their state entity for the receipt of matching funds.
This bill would additionally require the department to act as the state entity for the receipt of federal reimbursement for CalFresh outreach activities on behalf of state educational institutions or other state or local agencies, subject to certain conditions.
(3) Existing law requires the State Department of Social Services to establish and administer the State Emergency Food Assistance Program, to provide food and funding for the provision of emergency food to food banks, as provided. Existing law creates the State Emergency Food Assistance Program Account within the Emergency Food Assistance Program Fund and requires that moneys in the account, upon appropriation by the Legislature, be used by the program for the purchase, storage, and transportation of food grown or produced in California and for the department’s administrative costs.
This bill would establish the Public Higher Education Pantry Assistance Program Account in the Emergency Food Assistance Program Fund, and would require that moneys in the account, upon appropriation by the Legislature, be allocated to the department for allocation to food banks that support on-campus pantry and hunger relief efforts serving low-income students, as specified.
(4) This bill would incorporate changes to Section 18995 of the Welfare and Institutions Code proposed by both this bill and AB 1577, which would become operative only if both bills are enacted and become effective on or before January 1, 2017, and this bill is chaptered last.
(5) The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that, if the Commission on State Mandates determines that the bill contains costs mandated by the state, reimbursement for those costs shall be made pursuant to these statutory provisions.","Declares the intent of the Legislature to increase the college graduation rates of low-income Californians and to reduce the incidence of economic hardship and hunger among low-income college students. Directs each public or private postsecondary educational institution located in a county that participates in the Restaurant Meals Program to: (1) apply to be an approved food vendor under such Program, (2) provide all on-campus food vendors not operated by the institution with program information, and (3) annually inform students about the program. Requires an approved food vendor participating in the Program, and a county in which it is operated, to meet the requirements of the Program. Amends the Welfare and Institutions Act to require the Department of Social Services, if a private nonprofit organization, public postsecondary educational institution, or other state or local agency secures funds for CalFresh outreach activities that are allowable for partial federal reimbursement and comply with contracting requirements established in state and federal law, to act as the state entity for receipt of federal reimbursement on behalf of the organization, institution, or agency. Requires any reduction in federal funding to the state that is due to the result of any audit of CalFresh outreach contracts or activities to be applied to the appropriate local government that served as the contracting agency for CalFresh outreach activities. Directs the Department to"
"(1) Existing law authorizes a pharmacy to furnish epinephrine auto-injectors to a school district, county office of education, or charter school if certain conditions are met. Existing law requires the school district, county office of education, or charter school to maintain records regarding the acquisition and disposition of epinephrine auto-injectors furnished by the pharmacy for a period of 3 years from the date the records were created.
This bill would authorize a pharmacy to furnish naloxone hydrochloride or another opioid antagonist to a school district, county office of education, or charter school if certain conditions are met. The bill would require the school district, county office of education, or charter school to maintain records regarding the acquisition and disposition of naloxone hydrochloride or another opioid antagonist furnished by the pharmacy for a period of 3 years from the date the records were created.
(2) Under existing law, the governing board of a school district is required to give diligent care to the health and physical development of pupils and may employ properly certified persons for that work. Existing law requires school districts, county offices of education, and charter schools to provide emergency epinephrine auto-injectors to school nurses or trained volunteer personnel and authorizes school nurses and trained personnel to use epinephrine auto-injectors to provide emergency medical aid to persons suffering, or reasonably believed to be suffering, from an anaphylactic reaction, as provided.
This bill would authorize a school district, county office of education, or charter school to provide emergency naloxone hydrochloride or another opioid antagonist to school nurses and trained personnel who have volunteered, as specified, and authorizes school nurses and trained personnel to use naloxone hydrochloride or another opioid antagonist to provide emergency medical aid to persons suffering, or reasonably believed to be suffering, from an opioid overdose. The bill would expressly authorize each public and private elementary and secondary school in the state to voluntarily determine whether or not to make emergency naloxone hydrochloride or another opioid antagonist and trained personnel available at its school and to designate one or more school personnel to receive prescribed training regarding naloxone hydrochloride or another opioid antagonist from individuals in specified positions.
The bill would require the Superintendent of Public Instruction to establish minimum standards of training for the administration of naloxone hydrochloride or another opioid antagonist, to review these standards every 5 years or sooner as specified, and to consult with organizations and providers with expertise in administering naloxone hydrochloride or another opioid antagonist and administering medication in a school environment in developing and reviewing those standards. The bill would require the State Department of Education to include on its Internet Web site a clearinghouse for best practices in training nonmedical personnel to administer naloxone hydrochloride or another opioid antagonist to pupils.
The bill would require a school district, county office of education, or charter school choosing to exercise the authority to provide emergency naloxone hydrochloride or another opioid antagonist to provide the training for the volunteers at no cost to the volunteers and during the volunteers’ regular working hours. The bill would require a qualified supervisor of health or administrator at a school district, county office of education, or charter school electing to utilize naloxone hydrochloride or another opioid antagonist for emergency medical aid to obtain the prescription for naloxone hydrochloride or another opioid antagonist from an authorizing physician and surgeon, as defined, and would authorize the prescription to be filled by local or mail order pharmacies or naloxone hydrochloride or another opioid antagonist manufacturers.
The bill would authorize school nurses or, if the school does not have a school nurse, a person who has received training regarding naloxone hydrochloride or another opioid antagonist to immediately administer naloxone hydrochloride or another opioid antagonist under certain circumstances. The bill would provide that volunteers may administer naloxone hydrochloride or another opioid antagonist only by nasal spray or by auto-injector, as specified.
The bill would prohibit an authorizing physician and surgeon from being subject to professional review, being liable in a civil action, or being subject to criminal prosecution for any act in the issuing of a prescription or order, pursuant to these provisions, unless the act constitutes gross negligence or willful or malicious conduct. The bill would prohibit a person trained under these provisions who administers naloxone hydrochloride or another opioid antagonist, in good faith and not for compensation, to a person who appears to be experiencing an opioid overdose from being subject to professional review, being liable in a civil action, or being subject to criminal prosecution for this administration.","(This measure has not been amended since it was reported to the House on March 16, 2016. (Sec. 1) This bill amends the Business and Professions Code to allow a pharmacy to furnish naloxone hydrochloride or another opioid antagonist to a school district, county office of education, or charter school if: (1) the naloxone hydrochloride or another opioid antagonist is furnished exclusively for use at a school district schoolsite, county office of education schoolsite, or charter school; (2) a physician and surgeon provide a written order that specifies the quantity of naloxone hydrochloride or another opioid antagonist to be furnished; and (3) records regarding the acquisition and disposition of such drugs shall be maintained by the school district, county office of education, or charter school for three years. The school district, county office of education, or charter school shall be responsible for monitoring the supply and ensuring the destruction of expired drugs. School districts, county offices of education, and charter schools may provide emergency naloxone hydrochloride or another opioid antagonist to school nurses or trained personnel who have volunteered, and school nurses or trained personnel may use naloxone hydrochloride or another opioid antagonist to provide emergency medical aid to persons suffering, or reasonably believed to be suffering, from an opioid overdose."
"Existing law, the California Environmental Quality Act, requires a lead agency, as defined, to prepare, or cause to be prepared, and certify the completion of an environmental impact report on a project that it proposes to carry out or approve that may have a significant effect on the environment or to adopt a negative declaration if it finds that the project will not have that effect. The act also requires a lead agency to prepare a mitigated negative declaration for a project that may have a significant effect on the environment if revisions in the project would avoid or mitigate that effect and there is no substantial evidence that the project, as revised, would have a significant effect on the environment.
The act exempts from its requirements projects consisting of the construction or expansion of recycled water pipeline and directly related infrastructure within existing rights of way, and directly related groundwater replenishment, if the project does not affect wetlands or sensitive habitat, and where the construction impacts are fully mitigated, and undertaken for the purpose of mitigating drought conditions for which a state of emergency was proclaimed by the Governor on a certain date. The act provides that this exemption remains operative until the state of emergency has expired or until January 1, 2017, whichever occurs first.
This bill, until January 1, 2021, would exempt from the act’s requirements a water treatment project determined by the City of Porterville as the best option based on a certain feasibility study, as provided.
This bill would require the lead agency, in certifying the environmental impact report and in granting approvals for a certain water treatment project determined by the City of Porterville based on a certain feasibility study, as specified, to comply with specified procedures, including the concurrent preparation of the record of proceedings and the certification of the record of proceedings within 5 days of the filing of a specified notice.
This bill would make legislative findings and declarations as to the necessity of a special statute for the City of Porterville.
This bill would declare that it is to take effect immediately as an urgency statute.",This bill does not apply to a project determined by the City of Porterville as the best option stating as the best option based on a feasibility study conducted by the city seeking long-term solutions to the lack of water in East Porterville. The project may be one of the following: the construction of a series of satellite water treatment facilities located adjacent to existing water distribution lines; the construction of an advanced water recycling treatment facility located either adjacent to the city's existing wastewater treatment facility or at a preferred location; and upgrades to the city's existing wastewater treatment facility to allow for tertiary treatment of the city's wastewater. The bill requires the Environmental Protection Agency (EPA) to conduct: (1) an informational workshop within 10 days after the draft environmental impact report for such project is released; (2) a public hearing within 10 days before its final environmental impact report; (3) a mediation session within 5 days after its final environmental impact report; and (4) a nonbinding hearing or proceeding to certify the decision to approve the project pursuant to this bill. The EPA must not consider written comments submitted after the public comment period following the draft report's release unless those comments address specified issues.
"Existing law defines various terms for the purposes of some, but not all, provisions relating to the duty owed to the prospective purchaser in transactions of commercial and residential real estate, including, but not limited to, the terms “agent,” “buyer,” “real property,” “sell,” “sale,” “sold,” and “seller.”
This bill would specify that those definitions also apply to a provision relating to the duty to inform the prospective purchaser of specified property of common environmental hazards.","(This measure has not been amended since it was reported to the House on March 6, 2003. The summary of that version is repeated here.)<n><n>Amends the Civil Code of California to revise the definition of &quot;broker&quot; to include, among other things, a person who is: (1) licensed as a real estate broker; (2) an associate licensee; (3) an agent acting, either directly or through an associate licensee, as agent for both seller and buyer in a real property transaction; (4) a listing agent; (5) a person who seeks the services of an agent in more than a casual, temporary, or preliminary manner, with object entering into a real property transaction; and (6) a seller or lessee.<n><n>(Sec. 1) Includes under the definition of &quot;broker&quot; a person who is licensed as a real estate broker, associate licensee, or buyer in a real property transaction, the creation or transferee of real property, and the duties of an associate licensee in such transaction.<n><n>Declares that when a licensee owes a duty to any principal, or to any buyer or seller who is not a transferee, the duty is equivalent to the duty owed to that party by the broker for whom the associate licensee functions.<n><n>"
"Existing law regulates secondhand dealers and coin dealers, and makes it unlawful for a person to engage in the business of a secondhand dealer without a license issued by the chief of police, the sheriff, or, where appropriate, the police commission. Existing law also regulates pawnbrokers. Existing law requires a local law enforcement agency to issue a license to engage in the business of a sehe bill would require the Department of Justice to accept the properly spelled and non-abbreviated plain text property descriptions commonly recognized and utilized by the pawn and secondhand dealer industries. The bill would require a secondhand dealer to provide a property description in an article field descriptor, as specified. This bill would prohibit the Department of Justice, chiefs of police, and sheriffs from requiring secondhand dealers to report any additional information other than that which is required by these provisions. The bill would require that a future change to the reporting requirements of CAPSS that substantively alters the reporting standards be implemented and operated in compliance with the Administrative Procedure Act and prohibit the Department of Justice from taking any action with respect to the implementation, operation, or maintenance of CAPSS by adoption of an emergency regulation. The bill would also require the Department of Justice to convene a meeting with the Department of Technology to discuss issues pertaining to any proposed changes or upgrades, and authorize the Department of Technology to provide technological assistance for ongoing improvements, updates, or changes, to CAPSS.
Existing law provides an exception to the reporting requirement for the acquisition of the same property from the same customer within 12 months of a reported transfer, except when submission of the report is specifically requested in writing by the local authorities.
This bill would expand the reporting requirement exception to all acquisitions of the same property from the same customer within 12 months of a reported transfer.
This bill would declare that it is to take effect immediately as an urgency statute.","Declares the intent of the Legislature to clarify that pawnbrokers and other secondhand dealers are to report their acquisition of tangible personal property received in pledge, trade, consignment, or auction or purchase using plain text, in descriptive language historically used in the pawn and secondhand industries when reporting to the Department of Justice (DOJ), or if not yet implemented in their respective jurisdictions, on paper forms sent to the local police chief or sheriff of the jurisdiction in which the secondhand dealer is physically located. States that it is the intent of the Legislature that DOJ shall continue to accept the plain text descriptive language historically used in the pawn and secondhand industries and may provide article field descriptors to secondhand dealers in order to facilitate communication between single, statewide, and uniform electronic reporting system and law enforcement databases. It is the intent of the Legislature that only properly trained law enforcement personnel of DOJ or local law enforcement classify and encode for law enforcement databases property reported by pawnbrokers and secondhand dealers."
"Existing law provides for the compensation of victims and derivative victims of specified types of crimes by the California Victim Compensation and Government Claims Board from the Restitution Fund, a continuously appropriated fund, for specified losses suffered as a result of those crimes. Existing law sets forth eligibility requirements and specified limits on the amount of compensation the board may award, and requires applications for compensation to be verified under penalty of perjury.
This bill would create the San Diego County Elder or Dependent Adult Financial Abuse Crime Victim Compensation Pilot Program and would authorize the board, upon appropriation by the Legislature before January 1, 2019, to provide victims of elder or dependent adult financial abuse compensation to reimburse costs for financial counseling, mental health counseling, or supportive services, as specified, if the crime occurred in the County of San Diego. The bill would limit compensation pursuant to this authorization to $3,000 per person and an aggregate total of $1,000,000. The bill would exclude a derivative victim from eligibility for compensation if the only crime the victim suffered was elder or dependent adult financial abuse. The bill would authorize the pilot program to operate until January 1, 2020. The bill would require the board to report specified information related to the pilot program to the Legislature and Governor on or before July 1, 2020. By expanding the scope of the crime of perjury, this bill would impose a state-mandated local program. The bill would repeal these provisions on January 1, 2021.
This bill would make related legislative findings and declarations, including findings and declarations as to the necessity of a special statute enacting a pilot program in the County of San Diego.
The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that no reimbursement is required by this act for a specified reason.","This bill establishes a pilot program for financial abuse of elder or dependent adults in San Diego County, California. Under the program, eligible victims may receive compensation for up to 10 sessions of financial counseling, mental health counseling, or supportive services."
"(1) Existing law requires the State Air Resources Board to adopt airborne toxic control measures to reduce emissions of toxic air contaminants from nonvehicular sources. Existing law prescribes civil penalties for violations of specified air pollution control laws, rules, regulations, permits, or orders of the State Air Resources Board or of an air pollution control district or air quality management district.
This bill would require an owner or operator of an oil refinery that uses hydrogen fluoride, hydrofluoric acid, or modified hydrofluoric acid in its operations to send out biannual notices to each business, school, child care facility, library, church, community facility, senior facility, and residence within a 3.5-mile radius of the refinery, as specified. The bill would require the cost of the notice to be paid by the owner or operator of the refinery. The bill would require the owner or operator to file a copy of the notice and distribution list with the State Air Resources Board. An owner or operator who violates these provisions would be subject to those civil penalties.
(2) Existing law generally regulates the management of hazardous waste. A violation of the hazardous waste control laws is a crime.
This bill would require a business that, at any time, handles, maintains, or stores more than 250 gallons of hydrogen fluoride or hydrofluoric acid to, if possible, convert to a known, significantly less hazardous substitute by January 1, 2017. If that conversion is not possible and the business is located within 2 miles of a residential dwelling, the bill would require the business to cease handling, maintaining, or storing hydrogen fluoride and hydrofluoric acid by January 1, 2017. Because a violation of these requirements would be a crime, the bill would impose a state-mandated local program.
(3) The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.
This bill would provide that no reimbursement is required by this act for a specified reason.
(4) This bill would declare that it is to take effect immediately as an urgency statute.",". The expanded summary of the Senate reported version is repeated here.) (Sec. 2) This bill amends the Health and Safety Code to prohibit the manufacture, storage, or use in commerce of hydrogen fluoride or modified hydrofluoric acid, effective January 1, 2017. Hydrogen fluoride is a harmful and potentially deadly toxic gas. If released, hydrogen fluoride creates a deadly gas cloud that is toxic to the respiratory system. An uncontrolled release of hydrogen fluoride would endanger human life outside of an area six times as large as a comparable release of sulfuric acid, while no similar threat would exist from a spill of sulfuric acid. (Sec. 3) A business that handles, maintains, or stores more than 250 gallons of hydrogen fluoride shall cease handling, maintaining, or storing hydrogen fluoride by January 1, 2017."
"Existing law, until July 1, 2017, requests the University of California to establish the California Health Benefit Review Program to assess, among other things, legislation that proposes to mandate or repeal a mandated benefit or service, as defined. Existing law requests the University of California to prepare a written analysis with relevant data on public health, medical, financial, and other impacts of that legislation, as specified.
Existing law requests the University of California to provide the analysis to the appropriate policy and fiscal committees of the Legislature, as specified, and to submit a report to the Governor and the Legislature regarding the implementation of these provisions by January 1, 2017. Existing law establishes the Health Care Benefits Fund in the State Treasury to effectively support the University of California and its work in implementing these provisions.
The California Health Benefit Review Program has been reauthorized since its predecessor was established in 2002.
This bill would additionally request the University of
California, commencing July 1, 2017,
California
to include in its analysis, as part of the financial impacts of the above legislation, relevant data on the impact of coverage or repeal of coverage of the benefit or service on anticipated costs or savings estimated upon implementation for the 2 subsequent state fiscal years and, if applicable, for the 5 subsequent state fiscal years, as specified.
This bill would make its provisions operative on July 1, 2017, and only if the California Health Benefit Review Program is reauthorized, as specified.","This bill amends the Health and Safety Code to require the University of California to establish the California Health Benefit Review Program to assess legislation proposing to mandate and repeal a mandated benefit or service and to prepare a written analysis with relevant data on: public health impacts; medical impacts; financial impacts; and impact on the total cost of health care. The Legislature further requests that the program assess legislation that impacts health insurance benefit design, cost sharing, premiums, and other health insurance topics."
"(1) In civil trials, existing law requires a trial judge to examine prospective jurors, and, upon completion of the judge’s examination, grants counsel for each party the right to examine, by oral and direct questioning, any prospective juror in order to enable counsel to intelligently exercise peremptory challenges and challenges for cause. Existing law provides that the judge in civil trials should provide the parties with both the alphabetical list and the list of prospective jurors in the order in which they will be called.
This bill would make nonsubstantive changes to these provisions.
(2) Under existing law, which was enacted by initiative measure, in a criminal case, the court is required to conduct the examination of prospective jurors, except that the court may permit the parties, upon a showing of good cause, to conduct a further inquiry. The initiative measure provides that it may be amended by a measure enacted by a
2/3
vote of each house.
This bill would, until January 1, 2022, in criminal trials, require the court to provide the complete names of prospective jurors to counsel for each party, as specified. The bill would also require the court and counsel for each party to address a prospective juror using a number assigned by the court, by the prospective juror’s first name and first initial of his or her last name, or by his or her title and last name, as determined by the court in each criminal trial. The bill would also make nonsubstantive changes to these provisions.","(Sec. 1) Amends the Code of Civil Procedure to require counsel in civil and criminal trials to examine prospective jurors by oral and direct questioning, upon completion of the initial examination. Requires the court to: (1) provide each party with the complete names of prospective jurors, both alphabetically and in the order in which they may be called; and (2) allow a brief opening statement by counsel before the commencement of the oral questioning phase. Specifies that the scope of the examination conducted by counsel shall be within reasonable limits prescribed by the court in the sound discretion. Declares that the court shall not establish a blanket policy of a time limit for dire examination. Declares that the court should permit counsel to conduct voirvoir examination without requiring prior submission of the questions unless a particular counsel engages in improper questioning. Declares that a court shall not unreasonably refuse to submit reasonable written questionnaires, the contents of which are determined by the court in its sound discretion, if requested by counsel. Allows the court, upon stipulation by counsel for all the parties appearing in the action, to permit counsel to examine the prospective jurors outside the court's presence. Specifies that the court shall: (1) not limit the amount of time that counsel may submit to examine prospective jurors outside the court's"
